♥A,♣5,♣9,♣3,♦9,(1) One pair
♣10,♣5,♣3,♦9,♠9,(1) One pair
♣10,♣5,♣7,♥Q,♥10,(1) One pair
♣10,♣5,♣7,♦3,♥10,(1) One pair
♣10,♣5,♣7,♥10,♦9,(1) One pair
♣10,♣5,♣7,♥10,♠9,(1) One pair
♣10,♣5,♣7,♥10,♠6,(1) One pair
♣10,♣5,♣7,♦9,♠9,(1) One pair
♣10,♣5,♥Q,♦3,♥10,(1) One pair
♣10,♣5,♥Q,♥10,♦9,(1) One pair
♣10,♣5,♥Q,♥10,♠9,(1) One pair
♣10,♣5,♥Q,♥10,♠6,(1) One pair
♣10,♣5,♥Q,♦9,♠9,(1) One pair
♣10,♣5,♦3,♥10,♦9,(1) One pair
♣10,♣5,♦3,♥10,♠9,(1) One pair
♣10,♣5,♦3,♥10,♠6,(1) One pair
♣10,♣5,♦3,♦9,♠9,(1) One pair
♦7,♣7,♦3,♦9,♠6,(1) One pair
♣10,♣5,♥10,♦9,♠6,(1) One pair
♣10,♣5,♥10,♠9,♠6,(1) One pair
♣10,♣5,♦9,♠9,♠6,(1) One pair
♣10,♣9,♦7,♦K,♣7,(1) One pair
♣10,♣9,♦7,♦K,♥10,(1) One pair
♣10,♣9,♦7,♦K,♦9,(1) One pair
♣10,♣9,♦7,♦K,♠9,(1) One pair
♣10,♣9,♦7,♣3,♣7,(1) One pair
♣10,♣9,♦7,♣3,♦3,(1) One pair
♣10,♣9,♦7,♣3,♥10,(1) One pair
♣10,♣9,♦7,♣3,♦9,(1) One pair
♣10,♣9,♦7,♣3,♠9,(1) One pair
♣10,♣9,♦7,♣7,♥Q,(1) One pair
♣10,♣9,♦7,♣7,♦3,(1) One pair
♦7,♣7,♦3,♥10,♠6,(1) One pair
♦7,♣7,♦3,♥10,♠9,(1) One pair
♦7,♣7,♦3,♥10,♦9,(1) One pair
♣10,♣9,♦7,♣7,♠6,(1) One pair
♣10,♣9,♦7,♥Q,♥10,(1) One pair
♣10,♣9,♦7,♥Q,♦9,(1) One pair
♣10,♣9,♦7,♥Q,♠9,(1) One pair
♣10,♣9,♦7,♦3,♥10,(1) One pair
♣10,♣9,♦7,♦3,♦9,(1) One pair
♣10,♣9,♦7,♦3,♠9,(1) One pair
♦7,♣7,♥Q,♠9,♠6,(1) One pair
♦7,♣7,♥Q,♦9,♠6,(1) One pair
♣10,♣9,♦7,♥10,♠6,(1) One pair
♦7,♣7,♥Q,♥10,♠6,(1) One pair
♣10,♣9,♦7,♦9,♠6,(1) One pair
♣10,♣9,♦7,♠9,♠6,(1) One pair
♣10,♣9,♦K,♣3,♦3,(1) One pair
♣10,♣9,♦K,♣3,♥10,(1) One pair
♣10,♣9,♦K,♣3,♦9,(1) One pair
♣10,♣9,♦K,♣3,♠9,(1) One pair
♣10,♣9,♦K,♣7,♥10,(1) One pair
♣10,♣9,♦K,♣7,♦9,(1) One pair
♣10,♣9,♦K,♣7,♠9,(1) One pair
♣10,♣9,♦K,♥Q,♥10,(1) One pair
♣10,♣9,♦K,♥Q,♦9,(1) One pair
♣10,♣9,♦K,♥Q,♠9,(1) One pair
♣10,♣9,♦K,♦3,♥10,(1) One pair
♣10,♣9,♦K,♦3,♦9,(1) One pair
♣10,♣9,♦K,♦3,♠9,(1) One pair
♦7,♣7,♥Q,♥10,♠9,(1) One pair
♦7,♣7,♥Q,♥10,♦9,(1) One pair
♣10,♣9,♦K,♥10,♠6,(1) One pair
♦7,♣7,♥Q,♦3,♠6,(1) One pair
♣10,♣9,♦K,♦9,♠6,(1) One pair
♣10,♣9,♦K,♠9,♠6,(1) One pair
♣10,♣9,♣3,♣7,♦3,(1) One pair
♣10,♣9,♣3,♣7,♥10,(1) One pair
♣10,♣9,♣3,♣7,♦9,(1) One pair
♣10,♣9,♣3,♣7,♠9,(1) One pair
♣10,♣9,♣3,♥Q,♦3,(1) One pair
♣10,♣9,♣3,♥Q,♥10,(1) One pair
♣10,♣9,♣3,♥Q,♦9,(1) One pair
♣10,♣9,♣3,♥Q,♠9,(1) One pair
♦7,♣7,♥Q,♦3,♠9,(1) One pair
♦7,♣7,♥Q,♦3,♦9,(1) One pair
♦7,♣7,♥Q,♦3,♥10,(1) One pair
♣10,♣9,♣3,♦3,♠6,(1) One pair
♣10,♥A,♠7,♥J,♦7,(1) One pair
♦7,♣3,♦9,♠9,♠6,(1) One pair
♣10,♣9,♣3,♥10,♠6,(1) One pair
♦7,♣3,♥10,♦9,♠9,(1) One pair
♣10,♣9,♣3,♦9,♠6,(1) One pair
♣10,♣9,♣3,♠9,♠6,(1) One pair
♣10,♣9,♣7,♥Q,♥10,(1) One pair
♣10,♣9,♣7,♥Q,♦9,(1) One pair
♣10,♣9,♣7,♥Q,♠9,(1) One pair
♣10,♣9,♣7,♦3,♥10,(1) One pair
♣10,♣9,♣7,♦3,♦9,(1) One pair
♣10,♣9,♣7,♦3,♠9,(1) One pair
♦7,♣3,♦3,♠9,♠6,(1) One pair
♦7,♣3,♦3,♦9,♠6,(1) One pair
♣10,♣9,♣7,♥10,♠6,(1) One pair
♦7,♣3,♦3,♥10,♠6,(1) One pair
♣10,♣9,♣7,♦9,♠6,(1) One pair
♣10,♣9,♣7,♠9,♠6,(1) One pair
♣10,♣9,♥Q,♦3,♥10,(1) One pair
♣10,♣9,♥Q,♦3,♦9,(1) One pair
♣10,♣9,♥Q,♦3,♠9,(1) One pair
♦7,♣3,♦3,♥10,♠9,(1) One pair
♦7,♣3,♦3,♥10,♦9,(1) One pair
♣10,♣9,♥Q,♥10,♠6,(1) One pair
♦7,♣3,♥Q,♦9,♠9,(1) One pair
♣10,♣9,♥Q,♦9,♠6,(1) One pair
♣10,♣9,♥Q,♠9,♠6,(1) One pair
♦7,♣3,♥Q,♦3,♠6,(1) One pair
♦7,♣3,♥Q,♦3,♠9,(1) One pair
♣10,♣9,♦3,♥10,♠6,(1) One pair
♦7,♣3,♥Q,♦3,♦9,(1) One pair
♣10,♣9,♦3,♦9,♠6,(1) One pair
♣10,♣9,♦3,♠9,♠6,(1) One pair
♦7,♣3,♥Q,♦3,♥10,(1) One pair
♦7,♣3,♣7,♠9,♠6,(1) One pair
♦7,♣3,♣7,♦9,♠6,(1) One pair
♦7,♣3,♣7,♥10,♠6,(1) One pair
♣10,♦7,♦K,♣3,♣7,(1) One pair
♣10,♦7,♦K,♣3,♦3,(1) One pair
♣10,♦7,♦K,♣3,♥10,(1) One pair
♣10,♦7,♦K,♣7,♥Q,(1) One pair
♣10,♦7,♦K,♣7,♦3,(1) One pair
♦7,♣3,♣7,♥10,♠9,(1) One pair
♣10,♦7,♦K,♣7,♦9,(1) One pair
♣10,♦7,♦K,♣7,♠9,(1) One pair
♣10,♦7,♦K,♣7,♠6,(1) One pair
♣10,♦7,♦K,♥Q,♥10,(1) One pair
♣10,♦7,♦K,♦3,♥10,(1) One pair
♣10,♦7,♦K,♥10,♦9,(1) One pair
♣10,♦7,♦K,♥10,♠9,(1) One pair
♣10,♦7,♦K,♥10,♠6,(1) One pair
♣10,♦7,♦K,♦9,♠9,(1) One pair
♣10,♦7,♣3,♣7,♥Q,(1) One pair
♦7,♣3,♣7,♥10,♦9,(1) One pair
♦7,♣3,♣7,♥Q,♠6,(1) One pair
♣10,♦7,♣3,♣7,♦9,(1) One pair
♣10,♦7,♣3,♣7,♠9,(1) One pair
♣10,♦7,♣3,♣7,♠6,(1) One pair
♣10,♦7,♣3,♥Q,♦3,(1) One pair
♣10,♦7,♣3,♥Q,♥10,(1) One pair
♦7,♣3,♣7,♥Q,♠9,(1) One pair
♣10,♦7,♣3,♦3,♦9,(1) One pair
♣10,♦7,♣3,♦3,♠9,(1) One pair
♣10,♦7,♣3,♦3,♠6,(1) One pair
♣10,♦7,♣3,♥10,♦9,(1) One pair
♣10,♦7,♣3,♥10,♠9,(1) One pair
♣10,♦7,♣3,♥10,♠6,(1) One pair
♣10,♦7,♣3,♦9,♠9,(1) One pair
♣10,♦7,♣7,♥Q,♦3,(1) One pair
♦7,♣3,♣7,♥Q,♦9,(1) One pair
♣10,♦7,♣7,♥Q,♦9,(1) One pair
♣10,♦7,♣7,♥Q,♠9,(1) One pair
♣10,♦7,♣7,♥Q,♠6,(1) One pair
♦7,♣3,♣7,♥Q,♥10,(1) One pair
♣10,♦7,♣7,♦3,♦9,(1) One pair
♣10,♦7,♣7,♦3,♠9,(1) One pair
♣10,♦7,♣7,♦3,♠6,(1) One pair
♦7,♦K,♦9,♠9,♠6,(1) One pair
♦7,♦K,♥10,♦9,♠9,(1) One pair
♦7,♦K,♦3,♦9,♠9,(1) One pair
♦7,♦K,♥Q,♦9,♠9,(1) One pair
♣10,♦7,♣7,♦9,♠6,(1) One pair
♣10,♦7,♣7,♠9,♠6,(1) One pair
♣10,♦7,♥Q,♦3,♥10,(1) One pair
♣10,♦7,♥Q,♥10,♦9,(1) One pair
♣10,♦7,♥Q,♥10,♠9,(1) One pair
♣10,♦7,♥Q,♥10,♠6,(1) One pair
♣10,♦7,♥Q,♦9,♠9,(1) One pair
♣10,♦7,♦3,♥10,♦9,(1) One pair
♣10,♦7,♦3,♥10,♠9,(1) One pair
♣10,♦7,♦3,♥10,♠6,(1) One pair
♣10,♦7,♦3,♦9,♠9,(1) One pair
♦7,♦K,♣7,♠9,♠6,(1) One pair
♣10,♦7,♥10,♦9,♠6,(1) One pair
♣10,♦7,♥10,♠9,♠6,(1) One pair
♣10,♦7,♦9,♠9,♠6,(1) One pair
♣10,♦K,♣3,♣7,♦3,(1) One pair
♣10,♦K,♣3,♣7,♥10,(1) One pair
♣10,♦K,♣3,♥Q,♦3,(1) One pair
♣10,♦K,♣3,♥Q,♥10,(1) One pair
♦7,♦K,♣7,♦9,♠6,(1) One pair
♣10,♦K,♣3,♦3,♦9,(1) One pair
♣10,♦K,♣3,♦3,♠9,(1) One pair
♣10,♦K,♣3,♦3,♠6,(1) One pair
♣10,♦K,♣3,♥10,♦9,(1) One pair
♣10,♦K,♣3,♥10,♠9,(1) One pair
♣10,♦K,♣3,♥10,♠6,(1) One pair
♣10,♦K,♣3,♦9,♠9,(1) One pair
♣10,♦K,♣7,♥Q,♥10,(1) One pair
♣10,♦K,♣7,♦3,♥10,(1) One pair
♣10,♦K,♣7,♥10,♦9,(1) One pair
♣10,♦K,♣7,♥10,♠9,(1) One pair
♣10,♦K,♣7,♥10,♠6,(1) One pair
♣10,♦K,♣7,♦9,♠9,(1) One pair
♣10,♦K,♥Q,♦3,♥10,(1) One pair
♣10,♦K,♥Q,♥10,♦9,(1) One pair
♣10,♦K,♥Q,♥10,♠9,(1) One pair
♣10,♦K,♥Q,♥10,♠6,(1) One pair
♣10,♦K,♥Q,♦9,♠9,(1) One pair
♣10,♦K,♦3,♥10,♦9,(1) One pair
♣10,♦K,♦3,♥10,♠9,(1) One pair
♣10,♦K,♦3,♥10,♠6,(1) One pair
♣10,♦K,♦3,♦9,♠9,(1) One pair
♦7,♦K,♣7,♥10,♠6,(1) One pair
♣10,♦K,♥10,♦9,♠6,(1) One pair
♣10,♦K,♥10,♠9,♠6,(1) One pair
♣10,♦K,♦9,♠9,♠6,(1) One pair
♣10,♣3,♣7,♥Q,♦3,(1) One pair
♣10,♣3,♣7,♥Q,♥10,(1) One pair
♦7,♦K,♣7,♥10,♠9,(1) One pair
♣10,♣3,♣7,♦3,♦9,(1) One pair
♣10,♣3,♣7,♦3,♠9,(1) One pair
♣10,♣3,♣7,♦3,♠6,(1) One pair
♣10,♣3,♣7,♥10,♦9,(1) One pair
♣10,♣3,♣7,♥10,♠9,(1) One pair
♣10,♣3,♣7,♥10,♠6,(1) One pair
♣10,♣3,♣7,♦9,♠9,(1) One pair
♦7,♦K,♣7,♥10,♦9,(1) One pair
♣10,♣3,♥Q,♦3,♦9,(1) One pair
♣10,♣3,♥Q,♦3,♠9,(1) One pair
♣10,♣3,♥Q,♦3,♠6,(1) One pair
♣10,♣3,♥Q,♥10,♦9,(1) One pair
♣10,♣3,♥Q,♥10,♠9,(1) One pair
♣10,♣3,♥Q,♥10,♠6,(1) One pair
♣10,♣3,♥Q,♦9,♠9,(1) One pair
♦7,♦K,♣7,♦3,♠6,(1) One pair
♦7,♦K,♣7,♦3,♠9,(1) One pair
♦7,♦K,♣7,♦3,♦9,(1) One pair
♦7,♦K,♣7,♦3,♥10,(1) One pair
♣10,♣3,♦3,♦9,♠6,(1) One pair
♣10,♣3,♦3,♠9,♠6,(1) One pair
♦7,♦K,♣7,♥Q,♠6,(1) One pair
♣10,♣3,♥10,♦9,♠6,(1) One pair
♣10,♣3,♥10,♠9,♠6,(1) One pair
♣10,♣3,♦9,♠9,♠6,(1) One pair
♣10,♣7,♥Q,♦3,♥10,(1) One pair
♣10,♣7,♥Q,♥10,♦9,(1) One pair
♣10,♣7,♥Q,♥10,♠9,(1) One pair
♣10,♣7,♥Q,♥10,♠6,(1) One pair
♣10,♣7,♥Q,♦9,♠9,(1) One pair
♣10,♣7,♦3,♥10,♦9,(1) One pair
♣10,♣7,♦3,♥10,♠9,(1) One pair
♣10,♣7,♦3,♥10,♠6,(1) One pair
♣10,♣7,♦3,♦9,♠9,(1) One pair
♦7,♦K,♣7,♥Q,♠9,(1) One pair
♣10,♣7,♥10,♦9,♠6,(1) One pair
♣10,♣7,♥10,♠9,♠6,(1) One pair
♣10,♣7,♦9,♠9,♠6,(1) One pair
♣10,♥Q,♦3,♥10,♦9,(1) One pair
♣10,♥Q,♦3,♥10,♠9,(1) One pair
♣10,♥Q,♦3,♥10,♠6,(1) One pair
♣10,♥Q,♦3,♦9,♠9,(1) One pair
♦7,♦K,♣7,♥Q,♦9,(1) One pair
♣10,♥Q,♥10,♦9,♠6,(1) One pair
♣10,♥Q,♥10,♠9,♠6,(1) One pair
♣10,♥Q,♦9,♠9,♠6,(1) One pair
♦7,♦K,♣7,♥Q,♥10,(1) One pair
♣10,♦3,♥10,♦9,♠6,(1) One pair
♣10,♦3,♥10,♠9,♠6,(1) One pair
♣10,♦3,♦9,♠9,♠6,(1) One pair
♦7,♦K,♣7,♥Q,♦3,(1) One pair
♥A,♠7,♥J,♣5,♦7,(1) One pair
♥A,♠7,♥J,♣5,♣7,(1) One pair
♥A,♠7,♥J,♣9,♦7,(1) One pair
♥A,♠7,♥J,♣9,♣7,(1) One pair
♥A,♠7,♥J,♣9,♦9,(1) One pair
♥A,♠7,♥J,♣9,♠9,(1) One pair
♥A,♠7,♥J,♦7,♦K,(1) One pair
♥A,♠7,♥J,♦7,♣3,(1) One pair
♦7,♦K,♣3,♦9,♠9,(1) One pair
♥A,♠7,♥J,♦7,♥Q,(1) One pair
♥A,♠7,♥J,♦7,♦3,(1) One pair
♥A,♠7,♥J,♦7,♥10,(1) One pair
♥A,♠7,♥J,♦7,♦9,(1) One pair
♥A,♠7,♥J,♦7,♠9,(1) One pair
♥A,♠7,♥J,♦7,♠6,(1) One pair
♥A,♠7,♥J,♦K,♣7,(1) One pair
♥A,♠7,♥J,♣3,♣7,(1) One pair
♥A,♠7,♥J,♣3,♦3,(1) One pair
♥A,♠7,♥J,♣7,♥Q,(1) One pair
♥A,♠7,♥J,♣7,♦3,(1) One pair
♥A,♠7,♥J,♣7,♥10,(1) One pair
♥A,♠7,♥J,♣7,♦9,(1) One pair
♥A,♠7,♥J,♣7,♠9,(1) One pair
♥A,♠7,♥J,♣7,♠6,(1) One pair
♥A,♠7,♥J,♦9,♠9,(1) One pair
♥A,♠7,♣5,♣9,♦7,(1) One pair
♥A,♠7,♣5,♣9,♣7,(1) One pair
♥A,♠7,♣5,♣9,♦9,(1) One pair
♥A,♠7,♣5,♣9,♠9,(1) One pair
♥A,♠7,♣5,♦7,♦K,(1) One pair
♥A,♠7,♣5,♦7,♣3,(1) One pair
♦7,♦K,♣3,♦3,♠6,(1) One pair
♥A,♠7,♣5,♦7,♥Q,(1) One pair
♥A,♠7,♣5,♦7,♦3,(1) One pair
♥A,♠7,♣5,♦7,♥10,(1) One pair
♥A,♠7,♣5,♦7,♦9,(1) One pair
♥A,♠7,♣5,♦7,♠9,(1) One pair
♥A,♠7,♣5,♦7,♠6,(1) One pair
♥A,♠7,♣5,♦K,♣7,(1) One pair
♥A,♠7,♣5,♣3,♣7,(1) One pair
♥A,♠7,♣5,♣3,♦3,(1) One pair
♥A,♠7,♣5,♣7,♥Q,(1) One pair
♥A,♠7,♣5,♣7,♦3,(1) One pair
♥A,♠7,♣5,♣7,♥10,(1) One pair
♥A,♠7,♣5,♣7,♦9,(1) One pair
♥A,♠7,♣5,♣7,♠9,(1) One pair
♥A,♠7,♣5,♣7,♠6,(1) One pair
♥A,♠7,♣5,♦9,♠9,(1) One pair
♥A,♠7,♣9,♦7,♦K,(1) One pair
♥A,♠7,♣9,♦7,♣3,(1) One pair
♦7,♦K,♣3,♦3,♠9,(1) One pair
♥A,♠7,♣9,♦7,♥Q,(1) One pair
♥A,♠7,♣9,♦7,♦3,(1) One pair
♥A,♠7,♣9,♦7,♥10,(1) One pair
♦7,♦K,♣3,♦3,♦9,(1) One pair
♦7,♦K,♣3,♦3,♥10,(1) One pair
♥A,♠7,♣9,♦7,♠6,(1) One pair
♥A,♠7,♣9,♦K,♣7,(1) One pair
♥A,♠7,♣9,♦K,♦9,(1) One pair
♥A,♠7,♣9,♦K,♠9,(1) One pair
♥A,♠7,♣9,♣3,♣7,(1) One pair
♥A,♠7,♣9,♣3,♦3,(1) One pair
♥A,♠7,♣9,♣3,♦9,(1) One pair
♥A,♠7,♣9,♣3,♠9,(1) One pair
♥A,♠7,♣9,♣7,♥Q,(1) One pair
♥A,♠7,♣9,♣7,♦3,(1) One pair
♥A,♠7,♣9,♣7,♥10,(1) One pair
♦7,♦K,♣3,♥Q,♦3,(1) One pair
♦7,♦K,♣3,♣7,♠6,(1) One pair
♥A,♠7,♣9,♣7,♠6,(1) One pair
♥A,♠7,♣9,♥Q,♦9,(1) One pair
♥A,♠7,♣9,♥Q,♠9,(1) One pair
♥A,♠7,♣9,♦3,♦9,(1) One pair
♥A,♠7,♣9,♦3,♠9,(1) One pair
♥A,♠7,♣9,♥10,♦9,(1) One pair
♥A,♠7,♣9,♥10,♠9,(1) One pair
♦7,♦K,♣3,♣7,♠9,(1) One pair
♥A,♠7,♣9,♦9,♠6,(1) One pair
♥A,♠7,♣9,♠9,♠6,(1) One pair
♥A,♠7,♦7,♦K,♣3,(1) One pair
♦7,♦K,♣3,♣7,♦9,(1) One pair
♥A,♠7,♦7,♦K,♥Q,(1) One pair
♥A,♠7,♦7,♦K,♦3,(1) One pair
♥A,♠7,♦7,♦K,♥10,(1) One pair
♥A,♠7,♦7,♦K,♦9,(1) One pair
♥A,♠7,♦7,♦K,♠9,(1) One pair
♥A,♠7,♦7,♦K,♠6,(1) One pair
♦7,♦K,♣3,♣7,♥10,(1) One pair
♥A,♠7,♦7,♣3,♥Q,(1) One pair
♦7,♦K,♣3,♣7,♥Q,(1) One pair
♥A,♠7,♦7,♣3,♥10,(1) One pair
♥A,♠7,♦7,♣3,♦9,(1) One pair
♥A,♠7,♦7,♣3,♠9,(1) One pair
♥A,♠7,♦7,♣3,♠6,(1) One pair
♣9,♦3,♥10,♠9,♠6,(1) One pair
♣9,♦3,♥10,♦9,♠6,(1) One pair
♣9,♥Q,♥10,♠9,♠6,(1) One pair
♣9,♥Q,♥10,♦9,♠6,(1) One pair
♣9,♥Q,♦3,♠9,♠6,(1) One pair
♣9,♥Q,♦3,♦9,♠6,(1) One pair
♥A,♠7,♦7,♥Q,♦3,(1) One pair
♥A,♠7,♦7,♥Q,♥10,(1) One pair
♥A,♠7,♦7,♥Q,♦9,(1) One pair
♥A,♠7,♦7,♥Q,♠9,(1) One pair
♥A,♠7,♦7,♥Q,♠6,(1) One pair
♥A,♠7,♦7,♦3,♥10,(1) One pair
♥A,♠7,♦7,♦3,♦9,(1) One pair
♥A,♠7,♦7,♦3,♠9,(1) One pair
♥A,♠7,♦7,♦3,♠6,(1) One pair
♥A,♠7,♦7,♥10,♦9,(1) One pair
♥A,♠7,♦7,♥10,♠9,(1) One pair
♥A,♠7,♦7,♥10,♠6,(1) One pair
♣9,♥Q,♦3,♥10,♠9,(1) One pair
♥A,♠7,♦7,♦9,♠6,(1) One pair
♥A,♠7,♦7,♠9,♠6,(1) One pair
♥A,♠7,♦K,♣3,♣7,(1) One pair
♥A,♠7,♦K,♣3,♦3,(1) One pair
♥A,♠7,♦K,♣7,♥Q,(1) One pair
♥A,♠7,♦K,♣7,♦3,(1) One pair
♥A,♠7,♦K,♣7,♥10,(1) One pair
♥A,♠7,♦K,♣7,♦9,(1) One pair
♥A,♠7,♦K,♣7,♠9,(1) One pair
♥A,♠7,♦K,♣7,♠6,(1) One pair
♥A,♠7,♦K,♦9,♠9,(1) One pair
♥A,♠7,♣3,♣7,♥Q,(1) One pair
♣9,♥Q,♦3,♥10,♦9,(1) One pair
♥A,♠7,♣3,♣7,♥10,(1) One pair
♥A,♠7,♣3,♣7,♦9,(1) One pair
♥A,♠7,♣3,♣7,♠9,(1) One pair
♥A,♠7,♣3,♣7,♠6,(1) One pair
♥A,♠7,♣3,♥Q,♦3,(1) One pair
♥A,♠7,♣3,♦3,♥10,(1) One pair
♥A,♠7,♣3,♦3,♦9,(1) One pair
♥A,♠7,♣3,♦3,♠9,(1) One pair
♥A,♠7,♣3,♦3,♠6,(1) One pair
♥A,♠7,♣3,♦9,♠9,(1) One pair
♥A,♠7,♣7,♥Q,♦3,(1) One pair
♥A,♠7,♣7,♥Q,♥10,(1) One pair
♥A,♠7,♣7,♥Q,♦9,(1) One pair
♥A,♠7,♣7,♥Q,♠9,(1) One pair
♥A,♠7,♣7,♥Q,♠6,(1) One pair
♥A,♠7,♣7,♦3,♥10,(1) One pair
♥A,♠7,♣7,♦3,♦9,(1) One pair
♥A,♠7,♣7,♦3,♠9,(1) One pair
♥A,♠7,♣7,♦3,♠6,(1) One pair
♥A,♠7,♣7,♥10,♦9,(1) One pair
♥A,♠7,♣7,♥10,♠9,(1) One pair
♥A,♠7,♣7,♥10,♠6,(1) One pair
♣9,♣7,♥10,♠9,♠6,(1) One pair
♥A,♠7,♣7,♦9,♠6,(1) One pair
♥A,♠7,♣7,♠9,♠6,(1) One pair
♥A,♠7,♥Q,♦9,♠9,(1) One pair
♥A,♠7,♦3,♦9,♠9,(1) One pair
♥A,♠7,♥10,♦9,♠9,(1) One pair
♥A,♠7,♦9,♠9,♠6,(1) One pair
♥A,♥J,♣5,♣9,♦9,(1) One pair
♥A,♥J,♣5,♣9,♠9,(1) One pair
♥A,♥J,♣5,♦7,♣7,(1) One pair
♥A,♥J,♣5,♣3,♦3,(1) One pair
♥A,♥J,♣5,♦9,♠9,(1) One pair
♥A,♥J,♣9,♦7,♣7,(1) One pair
♥A,♥J,♣9,♦7,♦9,(1) One pair
♥A,♥J,♣9,♦7,♠9,(1) One pair
♥A,♥J,♣9,♦K,♦9,(1) One pair
♥A,♥J,♣9,♦K,♠9,(1) One pair
♥A,♥J,♣9,♣3,♦3,(1) One pair
♥A,♥J,♣9,♣3,♦9,(1) One pair
♥A,♥J,♣9,♣3,♠9,(1) One pair
♥A,♥J,♣9,♣7,♦9,(1) One pair
♥A,♥J,♣9,♣7,♠9,(1) One pair
♥A,♥J,♣9,♥Q,♦9,(1) One pair
♥A,♥J,♣9,♥Q,♠9,(1) One pair
♥A,♥J,♣9,♦3,♦9,(1) One pair
♥A,♥J,♣9,♦3,♠9,(1) One pair
♥A,♥J,♣9,♥10,♦9,(1) One pair
♥A,♥J,♣9,♥10,♠9,(1) One pair
♣9,♣7,♥10,♦9,♠6,(1) One pair
♥A,♥J,♣9,♦9,♠6,(1) One pair
♥A,♥J,♣9,♠9,♠6,(1) One pair
♥A,♥J,♦7,♦K,♣7,(1) One pair
♥A,♥J,♦7,♣3,♣7,(1) One pair
♥A,♥J,♦7,♣3,♦3,(1) One pair
♥A,♥J,♦7,♣7,♥Q,(1) One pair
♥A,♥J,♦7,♣7,♦3,(1) One pair
♥A,♥J,♦7,♣7,♥10,(1) One pair
♥A,♥J,♦7,♣7,♦9,(1) One pair
♥A,♥J,♦7,♣7,♠9,(1) One pair
♥A,♥J,♦7,♣7,♠6,(1) One pair
♥A,♥J,♦7,♦9,♠9,(1) One pair
♥A,♥J,♦K,♣3,♦3,(1) One pair
♣9,♣7,♦3,♠9,♠6,(1) One pair
♥A,♥J,♦K,♦9,♠9,(1) One pair
♥A,♥J,♣3,♣7,♦3,(1) One pair
♥A,♥J,♣3,♥Q,♦3,(1) One pair
♥A,♥J,♣3,♦3,♥10,(1) One pair
♥A,♥J,♣3,♦3,♦9,(1) One pair
♥A,♥J,♣3,♦3,♠9,(1) One pair
♥A,♥J,♣3,♦3,♠6,(1) One pair
♥A,♥J,♣3,♦9,♠9,(1) One pair
♥A,♥J,♣7,♦9,♠9,(1) One pair
♥A,♥J,♥Q,♦9,♠9,(1) One pair
♥A,♥J,♦3,♦9,♠9,(1) One pair
♥A,♥J,♥10,♦9,♠9,(1) One pair
♥A,♥J,♦9,♠9,♠6,(1) One pair
♥A,♣5,♣9,♦7,♣7,(1) One pair
♥A,♣5,♣9,♦7,♦9,(1) One pair
♥A,♣5,♣9,♦7,♠9,(1) One pair
♥A,♣5,♣9,♦K,♦9,(1) One pair
♥A,♣5,♣9,♦K,♠9,(1) One pair
♥A,♣5,♣9,♣3,♦3,(1) One pair
♠7,♣5,♣9,♠9,♠6,(1) One pair
♣10,♥A,♠7,♥J,♣7,(1) One pair
♣10,♣5,♦7,♦9,♠9,(1) One pair
♥A,♣5,♣9,♣7,♠9,(1) One pair
♥A,♣5,♣9,♥Q,♦9,(1) One pair
♥A,♣5,♣9,♥Q,♠9,(1) One pair
♥A,♣5,♣9,♦3,♦9,(1) One pair
♥A,♣5,♣9,♦3,♠9,(1) One pair
♥A,♣5,♣9,♥10,♦9,(1) One pair
♥A,♣5,♣9,♥10,♠9,(1) One pair
♣9,♣7,♦3,♦9,♠6,(1) One pair
♥A,♣5,♣9,♦9,♠6,(1) One pair
♥A,♣5,♣9,♠9,♠6,(1) One pair
♥A,♣5,♦7,♦K,♣7,(1) One pair
♥A,♣5,♦7,♣3,♣7,(1) One pair
♥A,♣5,♦7,♣3,♦3,(1) One pair
♥A,♣5,♦7,♣7,♥Q,(1) One pair
♥A,♣5,♦7,♣7,♦3,(1) One pair
♥A,♣5,♦7,♣7,♥10,(1) One pair
♥A,♣5,♦7,♣7,♦9,(1) One pair
♥A,♣5,♦7,♣7,♠9,(1) One pair
♥A,♣5,♦7,♣7,♠6,(1) One pair
♥A,♣5,♦7,♦9,♠9,(1) One pair
♥A,♣5,♦K,♣3,♦3,(1) One pair
♥A,♣5,♦K,♦9,♠9,(1) One pair
♥A,♣5,♣3,♣7,♦3,(1) One pair
♥A,♣5,♣3,♥Q,♦3,(1) One pair
♥A,♣5,♣3,♦3,♥10,(1) One pair
♥A,♣5,♣3,♦3,♦9,(1) One pair
♥A,♣5,♣3,♦3,♠9,(1) One pair
♥A,♣5,♣3,♦3,♠6,(1) One pair
♥A,♣5,♣3,♦9,♠9,(1) One pair
♥A,♣5,♣7,♦9,♠9,(1) One pair
♥A,♣5,♥Q,♦9,♠9,(1) One pair
♥A,♣5,♦3,♦9,♠9,(1) One pair
♥A,♣5,♥10,♦9,♠9,(1) One pair
♥A,♣5,♦9,♠9,♠6,(1) One pair
♥A,♣9,♦7,♦K,♣7,(1) One pair
♥A,♣9,♦7,♦K,♦9,(1) One pair
♥A,♣9,♦7,♦K,♠9,(1) One pair
♥A,♣9,♦7,♣3,♣7,(1) One pair
♥A,♣9,♦7,♣3,♦3,(1) One pair
♥A,♣9,♦7,♣3,♦9,(1) One pair
